parametrization,k,A,phase,RMS,k_log_invariant,n_points
baseline: |x-0.5| vs y/ymax,0.44721865055805987,0.19697761770484584,0.27961668178938004,0.0605674012738012,1.8265574439156549,496
x/n vs log(n)/log(N),0.011040574578286558,13.012369856944733,-1.5430889070060685,0.13478169843434856,0.04509258201980373,503
log(x)/log(N_max) vs log(y)/log(N_max),-0.31233230024975245,0.6846706052310072,0.16090342094487065,0.08283111899783485,-1.2756464590298227,503
x/sqrt(y) vs log(y),0.010635297557787103,22.60409538985718,-1.5618436341734085,0.07991815579721487,0.04343732511645789,503
x*log(y)/y vs log(y),0.009395514358686428,17.138429141817852,-1.5533613715682346,0.0897184404213336,0.03837372763828226,503
sqrt(|x|) vs y^0.5,0.004427890220503796,0.511708350271922,1.170845389166054,0.1156828889886454,0.018084656874238627,503
x/y^0.3 vs log(y),-0.0075814581816593795,25.57782022698285,1.5651385528334285,0.09452486280175905,-0.030964649752788835,503
log(1+|x|) vs log(y),0.013980999254724336,0.5951577257686063,1.3658791920835467,0.0915334345320593,0.057102042211856774,503
sign(x)*|x|^0.7 vs y^0.5,0.45246758076583876,0.14940845193868157,-0.02244382560259734,0.10075888445552311,1.84799544193217,503
x*exp(y/Nmax) vs log(y),-0.008262626689103401,96.46730575841315,1.5735350305336908,0.17408845221191974,-0.03374671934286571,503
